"position_id","Word_Unique_ID","Text_ID","Word_Number","Word_Length","Word_POS","Word_In_Sentence_Number","OrthoMatchModel","POSMatchModel","LSA_Response_Match_Score","mean_log_ffd","n_fixations"
"42-43","QID2018",42,43,5,"Verb",29,0.005327265,0.379516098,0.264634146,5.29048880798867,63
"42-45","QID2020",42,45,8,"Noun",31,0.025827842,0.891648982,0.060731707,5.39729076873264,74
"42-47","QID2022",42,47,5,"Adjective",33,0.025279576,0.086743715,0.384390244,5.41796857054251,62
"43-2","QID2023",43,2,11,"Noun",2,0.005242433,0.986624099,0.037142857,5.28508663374512,80
"43-3","QID2024",43,3,4,"Verb",3,0.046098184,0.689938139,0.572857143,5.25091935809005,62
"43-4","QID2025",43,4,4,"Verb",4,0.005242433,0.986624099,0.43,5.21449985302189,61
"43-7","QID2028",43,7,4,"Adverb",7,0.047169955,0.346350001,0.46902439,5.36126444014105,67
"43-8","QID2029",43,8,6,"Adjective",8,0.140951354,0.754337307,0.430731707,5.19541098506917,71
"43-9","QID2030",43,9,7,"Verb",1,0.005510032,0.040753997,0.324634146,5.37946300341154,81
"43-11","QID2032",43,11,4,"Noun",3,0.005337144,0.965534677,0.528536585,5.37201028399227,62
"43-13","QID2034",43,13,8,"Noun",5,0.005337144,0.82586595,0.243170732,5.39862765624765,73
"43-16","QID2037",43,16,7,"Adjective",8,0.005337144,0.155215313,0.147560976,5.11643462711928,70
"43-17","QID2038",43,17,5,"Noun",9,0.45284412,0.920087928,0.563902439,5.30805416747228,69
"43-18","QID2039",43,18,6,"Verb",10,0.005337144,0.610539991,0.380243902,5.07496642041227,77
"43-19","QID2040",43,19,6,"Adjective",11,0.005337144,0.107999351,0.204390244,5.33151325285954,73
"43-20","QID2041",43,20,5,"Noun",12,0.005337144,0.986374798,0.354878049,5.29959670986499,68
"43-22","QID2043",43,22,5,"Verb",14,0.024859481,0.017586338,0.280243902,5.46744260679636,68
"43-24","QID2045",43,24,2,"Verb",16,0.070231903,0.986374798,0.432195122,5.1978353921296,29
"43-25","QID2046",43,25,8,"Verb",17,0.308490403,0.920087928,0.449268293,5.42140483621497,78
"43-26","QID2047",43,26,9,"Adverb",18,0.005337144,0.346350001,0.437804878,5.40968432044215,78
